N,campaign_duration,target_dana,campaign,total_donors_scraped,N_numeric,target_numeric
7020,10 hari lagi,Rp250.000.000,masjidkemasjid,7020,7020,250000000.0
69,100 (days remaining only),Rp1.000.000.000,pembangunanmasjidtapalbatas,69,69,1000000000.0
632,71 (days remaining only),Rp100.000.000,pahalajariyahwakafpembangunanmasjid,632,632,100000000.0
125,375 (days remaining only),Rp1.651.080.000,maribantupembangunanmasjiddipedalamansumsel,125,125,1651080000.0
94,41 (days remaining only),Rp1.226.500.000,amaljariyahpembangunanmasjidalmuniri,94,94,1226500000.0
1675,740 (days remaining only),Rp500.000.000,maribangunmasjidjatisarigisikdrono,1675,1675,500000000.0
1851,0 (days remaining only),Rp200.000.000,sedekahmasjidpantaibali,1851,1851,200000000.0
5206,0 (days remaining only),Rp100.000.000,masjidpelosoktimur,5204,5206,100000000.0
133,740 (days remaining only),Rp1.750.000.000,donasimasjidalfurqon1750,133,133,1750000000.0
306,8 (days remaining only),Rp116.650.000,masjidario,306,306,116650000.0
478,64 (days remaining only),Rp80.000.000,pembangunanmasjidmuhammadiyahalmujahidin,478,478,80000000.0
999,3417 (days remaining only),Rp5.000.000.000,masjidrumahtahfiz,999,999,5000000000.0
298,13 (days remaining only),Rp1.000.000.000,20251221,298,298,1000000000.0
1040,0 (days remaining only),Rp100.000.000,pembangunanalhikmahbandarlampung,1040,1040,100000000.0
621,0 (days remaining only),Rp100.000.000,pembangunanmasjidpemudamandiri,150,621,100000000.0
360,14 (days remaining only),Rp150.000.000,yukkinvestasiakhirat,360,360,150000000.0
3974,0 (days remaining only),Rp100.000.000,bangunmasjidpelosok25,1250,3974,100000000.0
354,10 (days remaining only),Rp100.000.000,setarapulihkanmasjid,354,354,100000000.0
481,0 (days remaining only),Rp100.000.000,pembangunanaladamtasik,481,481,100000000.0
94,6 (days remaining only),Rp10.000.000,masjidseko,70,94,10000000.0
961,375 (days remaining only),Rp2.000.000.000,masjidalakbarsorong,961,961,2000000000.0
1590,0 (days remaining only),Rp2.500.000.000.000,pembangunanmasjidalbina,1590,1590,2500000000000.0
