campaign_id,N,p1,duration,ev_actual,ev_predicted,error_percentage
1,22,0.8636363636363636,11,139649.9999999999,538592.225349449,285.6729146791617
2,70,0.5142857142857142,6,2420599.9999999977,1706594.2287043857,29.497057394679526
3,75,0.76,31,1530449.9999999984,1860180.2931762524,21.544662888448126
4,22,0.5454545454545454,10,490199.99999999994,606409.0381078115,23.706454122360576
5,608,0.8075657894736842,1,7070849.999999977,14357598.68170289,103.05336249111403
6,60,0.8166666666666667,375,1317649.999999999,1504155.6726503645,14.154416776106366
7,26,0.3846153846153846,1623,1852499.9999999993,755996.6337358439,59.190465115474
8,40,0.775,41,373350,984915.3193497465,163.80482639607513
9,80,0.6125,328,1925650,2000850.5314341069,3.905202473663795
10,80,0.9875,10,272650,2110982.353134521,674.2462325818892
11,7020,0.948005698005698,10,41443749.999999866,132140303.43784712,218.84253581745753
12,961,0.7565036420395421,375,23522949.99999997,25467739.676356632,8.267626621476747
